run_name,best_val_dice,final_val_dice,test_dice,epochs
baseline,0.6245635747909546,0.6106126308441162,0.6164495944976807,58
wavelet_ml_haar_l1,0.571723997592926,0.4072624444961548,0.5785866379737854,27
wavelet_ml_haar_l2,0.6612745523452759,0.5813868045806885,0.6292659640312195,49
wavelet_ml_haar_l3,0.6164435148239136,0.5727782845497131,0.5877446532249451,59
wavelet_ml_db2_l1,0.6297236084938049,0.5476800203323364,0.5988139510154724,40
wavelet_ml_db2_l2,0.6712877750396729,0.5573546290397644,0.6322316527366638,52
wavelet_ml_db2_l3,0.6394623517990112,0.6104576587677002,0.5999386310577393,45
wavelet_ml_sym4_l1,0.6629357933998108,0.6629357933998108,0.630126953125,53
wavelet_ml_sym4_l2,0.63023442029953,0.5455089211463928,0.6056172251701355,46
wavelet_ml_sym4_l3,0.6642251014709473,0.6598160266876221,0.6290972232818604,57
